user_id,discord_id,rsn,clan,total_submissions,total_gained,screenshot_categories,unique_items
681be4d46b5e84841052006e,225683257146998785,idkbruh,ironfoundry,24,1026.24,3,9
681be50b6b5e848410520071,266012501358018571,irongarchomp,ironclad,10,1451.0,2,10
681be5f56b5e848410520074,180132864111673344,prayergim,ironfoundry,21,2422.6,8,20
681be8636b5e84841052007c,265684079062548481,btwspoon,ironclad,11,1309.81,2,11
681be9116b5e848410520081,244584345317146624,nerdfighter,ironfoundry,12,1514.5,8,12
681be9536b5e848410520082,402947050485841922,prof friede,ironfoundry,23,3147.92,2,19
681be95c6b5e848410520083,152268263475118080,hcknchnkeres,ironfoundry,16,1237.67,4,15
681be9786b5e848410520084,309697088076382212,cyanne,ironfoundry,18,674.46,3,18
681be97d6b5e848410520085,447796479768395777,agent clunk,ironfoundry,12,1022.5,1,12
681bea336b5e84841052008a,797929872969957449,edgehimville,ironfoundry,8,710.75,5,8
681bea366b5e84841052008b,1173045051862036520,iron pyke,ironfoundry,12,1211.31,2,12
681beb096b5e848410520090,221734560243777536,olmanvayren,ironfoundry,5,841.38,4,5
681bee3d6b5e848410520098,169282701046710272,minusmoney,ironclad,21,1937.38,2,19
681bef796b5e84841052009d,526978897586159627,goopy bungus,ironfoundry,12,1918.5,0,12
681befc36b5e8484105200a1,167887795950452736,talon wyvern,ironclad,10,532.5,1,10
681beffd6b5e8484105200a2,567156635735162920,drouhgo,ironclad,10,1547.4,0,9
681bf04c6b5e8484105200a4,217140208154443776,firemonk,ironclad,2,8.0,0,1
681bf0ed6b5e8484105200a7,125877452210700288,loafcrumbs,ironclad,6,211.0,4,5
681bf1496b5e8484105200a9,302556229048205313,lrockyy,ironclad,7,1032.31,0,7
681bf15c6b5e8484105200aa,184853300187889665,halo 3 br,ironclad,4,270.0,2,4
681bf1716b5e8484105200ab,212894694726828032,dag kings,ironclad,0,0.0,0,0
681bf21d6b5e8484105200ae,984156127858163722,rosebalt,ironfoundry,22,2380.26,3,22
681bf3996b5e8484105200b1,169495858537037825,learn2combat,ironclad,3,80.0,5,3
681bf3bf6b5e8484105200b2,204177687185457152,timmysnapper,ironclad,7,2051.75,0,7
681bf4b16b5e8484105200b6,866366938862583818,cave whorror,ironclad,60,6627.15,6,51
681bf8276b5e8484105200c3,199639310608236545,drinkh2opls,ironclad,30,2225.46,0,25
681bfb276b5e8484105200c9,257307256016732161,pvm items,ironfoundry,5,1432.0,0,5
681bfb616b5e8484105200cb,511744245594587146,vil,ironclad,3,790.22,0,3
681bfd1d6b5e8484105200cf,135286339112271872,goopy willy,ironfoundry,0,0.0,0,0
681bfed96b5e8484105200d5,751899434157342872,28scape,ironclad,3,324.0,0,3
681bff396b5e8484105200d7,346180737705181184,iron burk,ironclad,7,952.0,0,6
681c02b86b5e8484105200df,78790922011156480,fellesin,ironclad,7,1099.9,2,7
681c054b6b5e8484105200ee,282542045997039617,ironesca,ironclad,31,2484.0,3,27
681c07866b5e8484105200f4,215987309588381696,android iron,ironfoundry,3,394.8,0,3
681c0caa6b5e848410520102,222044320637779968,imlntz,ironclad,3,368.0,1,3
681c0cd46b5e848410520103,243749721292800000,lab husky,ironclad,30,3326.33,5,28
681c1c2d6b5e84841052012f,192038864859168768,ekats rh,ironclad,10,1815.45,0,10
681c2ae16b5e848410520159,1005706758137839747,shekumezyv2,ironclad,0,0.0,3,0
681c32f06b5e848410520170,346378696031993857,0johncena0,ironclad,6,493.82,3,5
681c35186b5e848410520177,201068218738147329,semyeza,ironclad,2,24.0,0,1
681c35986b5e848410520178,383773330559205376,t a n n 11,ironclad,3,507.0,0,3
681c37436b5e84841052017d,155135354603700224,baby kadabra,ironfoundry,11,935.32,1,11
681c3a786b5e848410520182,1105568654965354608,drbeefcakemd,ironclad,14,1678.0,2,12
681c3afb6b5e848410520187,695328554392617120,lelc,ironfoundry,22,2846.88,2,20
681c4fe86b5e84841052022f,370383004654108675,itax,ironclad,10,1342.74,2,7
